[2025-09-18 21:27:48.203] [info]  DiscordSplash.signalReady
[2025-09-18 21:27:48.233] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-18 21:27:48.234] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-18 21:27:48.235] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-18 21:27:48.235] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-18 21:27:48.236] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-18 21:27:48.236] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-18 21:27:48.236] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-18 21:27:48.237] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-18 21:27:48.237] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-18 21:27:48.237] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-18 21:27:48.238] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-18 21:27:48.238] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-18 21:27:48.238] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-18 21:27:48.239] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-18 21:27:48.389] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-18 21:27:48.390] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-18 21:27:49.202] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:50.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:51.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:52.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:53.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:54.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:55.203] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-18 21:27:55.660] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-09-18 21:27:55.661] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-09-18 21:27:55.665] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-09-18 21:27:55.666] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-09-18 21:27:55.674] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-09-18 21:27:55.675] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-09-18 21:27:55.681] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-09-18 21:27:55.682] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-09-18 21:27:55.683] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-09-18 21:27:55.683] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-09-18 21:27:55.686] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-09-18 21:27:55.687] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-09-18 21:27:55.690] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-09-18 21:27:55.690] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-09-18 21:27:55.690] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-09-18 21:27:55.690] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-09-18 21:27:55.693] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-09-18 21:27:55.693] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-09-18 21:27:55.694] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-09-18 21:27:55.694] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-09-18 21:27:55.697] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-09-18 21:27:55.697] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-09-18 21:27:55.697] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-09-18 21:27:55.697] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-09-18 21:27:55.699] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-09-18 21:27:55.699] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-09-18 21:27:55.703] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-09-18 21:27:55.703] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-09-18 21:27:55.704] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-09-18 21:27:55.704] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-09-18 21:27:55.706] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-09-18 21:27:55.706] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-09-18 21:27:55.710] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-09-18 21:27:55.710] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-09-18 21:27:55.711] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-09-18 21:27:55.711] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-09-18 21:27:55.731] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-09-18 21:27:55.732] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-09-18 21:27:55.734] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-09-18 21:27:55.734] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-09-18 21:27:55.742] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-09-18 21:27:55.743] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-09-18 21:27:55.744] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-09-18 21:27:55.745] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2025-09-18 21:27:55.757] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-09-18 21:27:55.757] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-09-18 21:27:55.758] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2025-09-18 21:27:55.759] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2025-09-18 21:27:55.760] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2025-09-18 21:27:55.760] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2025-09-18 21:27:55.761] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-09-18 21:27:55.761] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-09-18 21:27:55.762] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-09-18 21:27:55.763] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2025-09-18 21:27:55.765] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-09-18 21:27:55.765] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-09-18 21:27:55.771] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
